Doug Smith, Peter Ledbetter
Louis Pretorius, Maurice Pollock
Cecil Pedlow, John Mulvey
Tom Okker, Unknown Fearmon
Armistead Neely, Harry Sheridan
John Mcgrath, Brendan Kelly
Bob Howe, Kenneth Reid
Lew Hoad, Jim Buckley
Graydon Garner, Vivian Gotto
Des Foley, Peter Mockler
Ken Fletcher, Paul Fitzsimmons
Herb Fitzgibbon, Gerry Waldron
Tom Edlefsen, Willie Walsh
Mark Cox, Unknown Doherty
John Bartlett, Michael Hickey
Harry Barniville, Derek Pollock
Tom Okker, Armistead Neely
Bob Howe, Louis Pretorius
Lew Hoad, Des Foley
Graydon Garner, Harry Barniville
Ken Fletcher, Cecil Pedlow
Herb Fitzgibbon, Doug Smith
Tom Edlefsen, John Mcgrath
Mark Cox, John Bartlett
Tom Okker, Graydon Garner
Lew Hoad, Bob Howe
Ken Fletcher, Herb Fitzgibbon
Mark Cox, Tom Edlefsen
Tom Okker, Ken Fletcher
Lew Hoad, Mark Cox
Tom Okker, Lew Hoad
Rod Laver, Herb Fitzgibbon
Thomaz Koch, Fred Stolle
Roy Emerson, Jan Kodes
Andres Gimeno, Jose Edison Mandarino
Rod Laver, Thomaz Koch
Roy Emerson, Andres Gimeno
Roy Emerson, Rod Laver
Jose Prats, Gustavo Herrero
Ricky Morea, Roberto Graetz
Norberto Herrero, Andres Funes
Ricardo Aubone, Emery Neale
Roberto Aubone, Alejandro Harms
Guillermo Vilas, Carlos Fernandes
Patricio Rodriguez Chi, Carlos Junquet
Jaime Pinto Bravo, Jorge Kon
Julian Ganzabal, Enrique Perez Alvarez
Tom Edlefsen, Tomas Lynch
Patricio Cornejo, Carlos Romero
Ricardo Aubone, Ricky Morea
Roberto Aubone, Norberto Herrero
Herb Fitzgibbon, Oscar Escribano
Jose Edison Mandarino, Edouardo Prada
Jan Kodes, Ernesto Rios
Thomaz Koch, Jose Prats
Fred Stolle, Julio Van Kerckhoven
Roy Emerson, Oscar Valdivieso
Andres Gimeno, Gerardo Wortelboer
Rod Laver, Juan Carlos Martinez
Herb Fitzgibbon, Guillermo Vilas
Jose Edison Mandarino, Patricio Cornejo
Jan Kodes, Roberto Aubone
Thomaz Koch, Ricardo Aubone
Fred Stolle, Jaime Pinto Bravo
Roy Emerson, Tom Edlefsen
Andres Gimeno, Julian Ganzabal
Rod Laver, Patricio Rodriguez Chi
Koji Watanabe, Giuseppe Merlo
Jorgen Ulrich, Massimo Di Domenico
Torben Ulrich, Jurg Siegrist
Roger Taylor, Dimitri Sturdza
Patricio Rodriguez Chi, Patrick Beraud
Dennis Ralston, Mathias Werren
Jaime Pinto Bravo, Isao Watanabe
Nikola Pilic, Michael Hickey
Tom Okker, Sergio Palmieri
John Newcombe, Fred Berli
Boro Jovanovic, Jan Coebergh
Istvan Gulyas, Jaime Subirats
Cliff Drysdale, Peter Holenstein
Pierre Darmon, Thedy Stalder
Pierre Barthes, Tom Edlefsen
Mal Anderson, Jean Pierre Loizeau
Dennis Ralston, Jaime Pinto Bravo
Nikola Pilic, Koji Watanabe
Tom Okker, Jorgen Ulrich
John Newcombe, Torben Ulrich
Istvan Gulyas, Mal Anderson
Cliff Drysdale, Patricio Rodriguez Chi
Pierre Darmon, Roger Taylor
Pierre Barthes, Boro Jovanovic
Dennis Ralston, Istvan Gulyas
Tom Okker, Pierre Darmon
John Newcombe, Pierre Barthes
Cliff Drysdale, Nikola Pilic
Tom Okker, Dennis Ralston
Cliff Drysdale, John Newcombe
Cliff Drysdale, Tom Okker
Rod Laver, Rauty Krog
John Barrett, Keith Carpenter
Robert Wilson, Gerald Battrick
John Ward, Paul Hutchins
Richard Gonzalez, Clay Iles
Mark Cox, Mel Baleson
Roy Emerson, Jimmy Moore
David Lloyd, Tony Pickard
Keith Wooldridge, Ted Beards
Fred Stolle, Peter Curtis
Luis Ayala, John Paish
Andres Gimeno, Stanley Matthews
Bob Howe, John Williams
Owen Davidson, John Clifton
Graydon Garner, John Bartlett
Ken Rosewall, Geoff Bluett
Rod Laver, John Barrett
Robert Wilson, John Ward
Mark Cox, Richard Gonzalez
Roy Emerson, David Lloyd
Fred Stolle, Keith Wooldridge
Andres Gimeno, Luis Ayala
Owen Davidson, Bob Howe
Ken Rosewall, Graydon Garner
Rod Laver, Robert Wilson
Mark Cox, Roy Emerson
Andres Gimeno, Fred Stolle
Ken Rosewall, Owen Davidson
Rod Laver, Mark Cox
Ken Rosewall, Andres Gimeno
Ken Rosewall, Rod Laver
Thomaz Koch, Manuel Orantes
Cliff Richey, U Unknown
Arthur Ashe, Dick Stockton
Torben Ulrich, Jeff Borowiak
Charlie Pasarell, Thomaz Koch
Jan Leschly, Cliff Richey
Arthur Ashe, Tom Okker
Manuel Santana, Torben Ulrich
Jan Leschly, Charlie Pasarell
Manuel Santana, Arthur Ashe
Manuel Santana, Jan Leschly
Peter Szoke, William Alvarez
Andras Szikszay, Barry Phillips Moore
Jean Loup Rouyer, Keith Wooldridge
Hans Jurgen Pohmann, Stanley Matthews
Bernard Montrenaud, Ove Bengtson
Ivan Molina, Detler Herdy
Alex Metreveli, Bill Tym
Peter Marmureanu, Claude De Gronckel
Sergei Likhachev, Peter Pokorny
Thomas Lejus, Hans Nerell
Michele Leclercq, Eduardo Gorostiaga
Teimuraz Kakulia, Giuseppe Merlo
Paul Hutchins, Dieter Schultheiss
Bob Howe, Geza Varga
Patrick Hombergen, U Unknown
Milan Holecek, Bronislaw Lewandowski
Georges Goven, Ference Komaromi
Wieslaw Gasiorek, Rauno Suominen
Victor Egorov, Jean Pierre Olivier
Tom Edlefsen, Lance Lumsden
Eric Drossart, U Unknown
Jean Pierre Courcol, Norman Perry
Daniel Contet, Frank Tutvin
Bob Carmichael, U Unknown
Patrice Beust, U Unknown
Gerald Battrick, Stepan Koudelka
John Barrett, Jean Baptiste Chanfreau
Jean Claude Barclay, Kenneth Andersson
Szabolcz Baranyi, Jairo Velasco
Ernesto Aguirre, Gardnar Mulloy
Nicola Pietrangeli, Thedy Stalder
Manuel Orantes, Mathias Werren
Jean Loup Rouyer, Eric Drossart
Alex Metreveli, Bernard Montrenaud
Sergei Likhachev, John Barrett
Thomas Lejus, Tom Edlefsen
Michele Leclercq, Peter Szoke
Teimuraz Kakulia, Andras Szikszay
Paul Hutchins, Patrice Beust
Milan Holecek, Peter Marmureanu
Georges Goven, Ivan Molina
Wieslaw Gasiorek, Bob Carmichael
Victor Egorov, Patrick Hombergen
Jean Pierre Courcol, Gerald Battrick
Daniel Contet, Hans Jurgen Pohmann
Ernesto Aguirre, Jean Claude Barclay
Nicola Pietrangeli, Bob Howe
Manuel Orantes, Szabolcz Baranyi
Alex Metreveli, Michele Leclercq
Thomas Lejus, Daniel Contet
Paul Hutchins, Victor Egorov
Milan Holecek, Ernesto Aguirre
Georges Goven, Wieslaw Gasiorek
Jean Pierre Courcol, Teimuraz Kakulia
Nicola Pietrangeli, Jean Loup Rouyer
Sergei Likhachev, Manuel Orantes
Alex Metreveli, Jean Pierre Courcol
Thomas Lejus, Georges Goven
Milan Holecek, Sergei Likhachev
Nicola Pietrangeli, Paul Hutchins
Alex Metreveli, Milan Holecek
Nicola Pietrangeli, Thomas Lejus
Nicola Pietrangeli, Alex Metreveli
John Alexander, Hans Jurgen Pohmann
Mal Anderson, Bob Howe
Alex Kurucz, Isao Watanabe
Milan Holecek, Lothar Pawlik
Marty Riessen, Graydon Garner
Mathias Werren, Graham Stilwell
Jan Kukal, Lothar Lanz
Roger Taylor, Phil Dent
Harald Elschenbroich, Bob Giltinan
Jan Kodes, Onny Parun
Frew Mcmillan, Brian Fairlie
Koji Watanabe, Uwe Gottschalk
Bernd Kube, Jaime Subirats
Cliff Drysdale, Steve Tidball
Dick Crealy, Ismail El Shafei
Jurgen Fassbender, Lance Lumsden
John Newcombe, John Alexander
Mal Anderson, Barry Phillips Moore
Ingo Buding, Alex Kurucz
Marty Riessen, Milan Holecek
Pierre Barthes, Ray Ruffels
Tom Okker, Roy Barth
Istvan Gulyas, Mathias Werren
Nikola Pilic, Jan Kukal
Robert Maud, Roger Taylor
