Jimmy Connors, John McEnroe
Bjorn Borg, Guillermo Vilas
Bjorn Borg, Jimmy Connors
Trey Waltke, Raymond Moore
Sherwood Stewart, Ramesh Krishnan
Nick Saviano, Eric Friedler
Terry Moor, Jeff Borowiak
Emilio Montano, Peter Rennert
Bernard Mitton, Gene Stuart Malin
Deon Joubert, Rolf Gehring
John James, John Austin
Haroon Ismail, Andrew Pattison
Hubertus Hoyt, Jai Dilouie
George Hardie, Bruce Manson
Heinz Gildemeister, John Chris Lewis
Rejean Genois, Erick Iskersky
Jaime Fillol, Eric Fromm
Colin Dowdeswell, Mel Purcell
Ross Case, Phil Dent
Mike Cahill, Michael Grant
Marty Riessen, Ivan Molina
Raul Ramirez, Mike Myburg
Rick Fagel, Hans Gildemeister
Victor Amaya, Russell Simpson
Vijay Amritraj, Keith Richardson
Eliot Teltscher, John Sadri
Mike Harrington, Brian Teacher
Pat Dupre, Alvin Gardiner
Corrado Barazzutti, Steve Krulevitz
John Alexander, Butch Walts
Jose Luis Clerc, Kevin Curren
Manuel Orantes, Randy Crawford
Jose Higueras, Tim Garcia
Eddie Dibbs, Lloyd Bourne
Harold Solomon, Francisco Gonzalez
Deon Joubert, Rejean Genois
Mike Harrington, Hubertus Hoyt
Rick Fagel, Trey Waltke
Marty Riessen, Haroon Ismail
Raul Ramirez, Emilio Montano
Victor Amaya, Colin Dowdeswell
Vijay Amritraj, Heinz Gildemeister
Eliot Teltscher, Jaime Fillol
Terry Moor, Pat Dupre
Corrado Barazzutti, George Hardie
John Alexander, Bernard Mitton
Jose Luis Clerc, John James
Ross Case, Manuel Orantes
Jose Higueras, Sherwood Stewart
Eddie Dibbs, Nick Saviano
Harold Solomon, Mike Cahill
Deon Joubert, Mike Harrington
Ross Case, Vijay Amritraj
Terry Moor, Corrado Barazzutti
John Alexander, Rick Fagel
Jose Luis Clerc, Marty Riessen
Eliot Teltscher, Jose Higueras
Eddie Dibbs, Victor Amaya
Harold Solomon, Raul Ramirez
Terry Moor, Ross Case
Eliot Teltscher, Deon Joubert
Jose Luis Clerc, Eddie Dibbs
John Alexander, Harold Solomon
John Alexander, Eliot Teltscher
Terry Moor, Jose Luis Clerc
John Alexander, Terry Moor
John Hayes, Chris Gunning
Brad Drewett, Sashi Menon
Raymond Moore, Mike Shore
Kevin Curren, Noel Phillips
Victor Amaya, Sherwood Stewart
Matt Mitchell, Michael Greenberg
Jim Delaney, Cary Stansbury
Marty Riessen, Charlie Pasarell
Vincent Van Patten, David Schneider
Byron Bertram, Jeff Turpin
Tom Leonard, Eric Friedler
Rick Fisher, Nial Brash
Tom Gorman, Bruce Kleege
Steve Denton, William Mcgehee
Randy Crawford, Mike Machette
Pat Dupre, Dale Collings
Brad Drewett, John Hayes
Kevin Curren, Raymond Moore
Victor Amaya, Matt Mitchell
Marty Riessen, Jim Delaney
Vincent Van Patten, Byron Bertram
Rick Fisher, Tom Leonard
Tom Gorman, Steve Denton
Pat Dupre, Randy Crawford
Brad Drewett, Kevin Curren
Marty Riessen, Victor Amaya
Vincent Van Patten, Rick Fisher
Pat Dupre, Tom Gorman
Marty Riessen, Brad Drewett
Pat Dupre, Vincent Van Patten
Marty Riessen, Pat Dupre
Wolfgang Popp, Andrew Jarrett
John Chris Lewis, Bhanu Nunna
Tony Graham, Mark Turpin
Bidynt Goswami, Roland Stiegler
Jurgen Fassbender, R Elangovan
