John Millman, Rhyne Williams
Jarkko Nieminen, Denis Kudla
James Duckworth, Gilles Simon
Jeremy Chardy, Andrey Golubev
Martin Klizan, Jurgen Melzer
Alexandr Dolgopolov, Carlos Berlocq
Lukasz Kubot, Kevin Anderson
Sam Groth, Lleyton Hewitt
Mikhail Kukushkin, Marius Copil
Thanasi Kokkinakis, Julien Benneteau
Bernard Tomic, Sam Querrey
Steve Johnson, Marinko Matosevic
Roger Federer, John Millman
James Duckworth, Jarkko Nieminen
Grigor Dimitrov, Jeremy Chardy
Martin Klizan, Alexandr Dolgopolov
Sam Groth, Lukasz Kubot
Milos Raonic, Mikhail Kukushkin
Bernard Tomic, Thanasi Kokkinakis
Kei Nishikori, Steve Johnson
Roger Federer, James Duckworth
Grigor Dimitrov, Martin Klizan
Milos Raonic, Sam Groth
Kei Nishikori, Bernard Tomic
Roger Federer, Grigor Dimitrov
Milos Raonic, Kei Nishikori
Roger Federer, Milos Raonic
Borna Coric, Robin Haase
Elias Ymer, Igor Sijsling
Gilles Muller, Edouard Roger-Vasselin
Ricardas Berankis, Luca Vanni
Jiri Vesely, N Vijay Sundar Prashanth
Andreas Haider Maurer, Marcel Granollers
Yen Hsun Lu, Somdev Devvarman
Pablo Carreno Busta, Alejandro Gonzalez
Peter Gojowczyk, Alejandro Falla
Guillermo Garcia Lopez, Evgeny Donskoy
Tatsuma Ito, Ramkumar Ramanathan
Aljaz Bedene, Lukas Lacko
Stan Wawrinka, Borna Coric
Gilles Muller, Elias Ymer
David Goffin, Ricardas Berankis
Andreas Haider Maurer, Jiri Vesely
Yen Hsun Lu, Pablo Carreno Busta
Roberto Bautista Agut, Peter Gojowczyk
Guillermo Garcia Lopez, Tatsuma Ito
Aljaz Bedene, Feliciano Lopez
Stan Wawrinka, Gilles Muller
David Goffin, Andreas Haider Maurer
Roberto Bautista Agut, Yen Hsun Lu
Aljaz Bedene, Guillermo Garcia Lopez
Stan Wawrinka, David Goffin
Aljaz Bedene, Roberto Bautista Agut
Stan Wawrinka, Aljaz Bedene
Novak Djokovic, Dusan Lajovic
Sergiy Stakhovsky, Jabor Al Mutawa
Nikoloz Basilashvili, Mikhail Youzhny
Ivo Karlovic, Lukas Rosol
David Ferrer, Thiemo De Bakker
Fernando Verdasco, Teymuraz Gabashvili
Dustin Brown, Paolo Lorenzi
Jan Lennard Struff, Philipp Kohlschreiber
Richard Gasquet, Pablo Andujar
Simone Bolelli, Benjamin Becker
Blaz Kavcic, Juan Monaco
Tomas Berdych, Denis Istomin
Andreas Seppi, Leonardo Mayer
Joao Souza, Malek Jaziri
Ivan Dodig, Mohamed Safwat
Michael Berrer, Rafael Nadal
Novak Djokovic, Sergiy Stakhovsky
Ivo Karlovic, Nikoloz Basilashvili
David Ferrer, Fernando Verdasco
