Caroline Langsford, Sally Irvine
Helen Amos, Caroline Cooper
Norma Marsh, Sharon Thomson
Vicki Lancaster Kerr, Theresa Van Haren
Sandra Walsham, Judy Harris
Sandra Hole, L Cameron
Cheryl Norquay, Mandy Morgan
Cynthia Doerner, Norma Eastburn
Valerie Caulley, Elizabeth Allan
Helen Sheedy, Kerry Ballard
Adrienne Avis, Janet Fallis
Margaret Court, Caroline Langsford
Kerry Wilkinson, Helen Kayser
Kerry Harris, Helen Amos
Evonne Goolagong, Norma Marsh
Karen Krantzcke, Vicki Lancaster Kerr
Lita Liem, Judith Dibar
Judy Tegart, Sandra Walsham
Lany Kaligis, Janine Whyte
Janet Young, Sandra Hole
Lesley Hunt, Cheryl Norquay
Wendy Gilchrist, Wendy Turnbull
Winnie Shaw, Cynthia Doerner
Jan Lehane, Valerie Caulley
Christina Sandberg, Helen Sheedy
Susan Alexander, Marilyn Tesch
Kerry Reid, Adrienne Avis
Margaret Court, Kerry Wilkinson
Evonne Goolagong, Kerry Harris
Karen Krantzcke, Lita Liem
Judy Tegart, Lany Kaligis
Lesley Hunt, Janet Young
Winnie Shaw, Wendy Gilchrist
Christina Sandberg, Jan Lehane
Kerry Reid, Susan Alexander
Margaret Court, Evonne Goolagong
Karen Krantzcke, Judy Tegart
Winnie Shaw, Lesley Hunt
Kerry Reid, Christina Sandberg
Margaret Court, Karen Krantzcke
Kerry Reid, Winnie Shaw
Margaret Court, Kerry Reid
Kerry Reid, Janice Townsend
Olga Morozova, Judith Szorenyi
Marianna Brummer, Jane Ohara
Marilyn Greenwood, Patricia Edwards
Alena Palmeova West, Suzana Gesteira
Peggy Michel, Alex Cowie
Winnie Shaw, Kerry Harris
Lesley Hunt, Stephanie Defina
Rosie Casals, Kathleen Harter
Wendy Overton, Lexie Kenny
Laura Rossouw, Maria Teresa Nasuelli
Denise Carter, Patricia Walkden
Shirley Bloomer, Marilyn Pryde
Lindsey Beaven, Joan Wilshere
Chikako Murakami, Christiane Spinoza
Christina Sandberg, Jackie Fayter
Sharon Walsh Pete, Patti Hogan
Helen Gourlay, Lita Liem
Mary Ann Eisel, Marie Pinterova
Francoise Durr, Lany Kaligis
Valerie Ziegenfuss, Sandra Walsham
Trudy Groenman, Daphne Pattison
Helen Amos, Monica Giorgi
Julie Heldman, Fay Toyne
Cecilia Martinez, Kimiyo Yagahara
Patricia Cody, Wendy Tomlinson
Rita Bentley, Wendy Hall
Veronica Burton, Eugenia Isopaitis
Evonne Goolagong, Odile De Roubin
Peaches Bartkowicz, Kristy Pigeon
Annette Van Zyl, Brenda Kirk
Virginia Wade, Sally Holdsworth
Margaret Court, Susan Alexander
Maria Eugenia Guzman, Ingrid Bentzer
Vlasta Kodesova, Robin Lloyd
Jill Cooper, Corinne Molesworth
Helga Masthoff, Ana Maria Arias
Gail Hansen, Evelyne Terras
Ada Bakker, Heide Orth
Betty Ann Grubb, Pam Teeguarden
Kerry Reid, Olga Morozova
Marianna Brummer, Marilyn Greenwood
Peggy Michel, Alena Palmeova West
Winnie Shaw, Lesley Hunt
Rosie Casals, Wendy Overton
Denise Carter, Laura Rossouw
Shirley Bloomer, Lindsey Beaven
Christina Sandberg, Chikako Murakami
Sharon Walsh Pete, Helen Gourlay
Francoise Durr, Mary Ann Eisel
Valerie Ziegenfuss, Trudy Groenman
Julie Heldman, Helen Amos
Cecilia Martinez, Patricia Cody
Rita Bentley, Veronica Burton
Peaches Bartkowicz, Evonne Goolagong
Virginia Wade, Annette Van Zyl
Gail Sherriff, Joyce Williams
