Jenny Walker, Chris Matison
Janet Newberry, Kiyoko Nomura
Marilyn Tesch, Kerry Ballard
Kazuko Sawamatsu, Helena Anliot
Lesley Hunt, Wendy Gilchrist
Helen Gourlay, Lindsey Beaven
Sue Barker, Isabelle Larsson
Jill Schwikert, Frances Candy
Nellemieke Brouwer, Beverley Rae
Patricia Coleman, Margareta Strandberg
Wendy Turnbull, Brenda Dale
Julie Heldman, Nerida Gregory
Kerry Reid, Kerryl Chute
Dianne Fromholtz, Pam Whytcross
Ann Kiyomura Hayashi, J D Griffiths
Mandy Morgan, Anneloes Schothurst
Gail Williams, Sally Arnott
Jackie Fayter, Joy Schwikert
Judy Tegart, Chris Oneil
Jenny Dimond, Kerry Harris
Pam Teeguarden, Nora Blom
Karen Krantzcke, Vicki Lancaster Kerr
Mimi Wikstedt, Barbara Hawcroft
Janet Young, Kathy Walker
Chris Evert, Katerleen Szeman
Janet Fallis, Toshiko Sade
Janet Newberry, Jenny Walker
Kazuko Sawamatsu, Marilyn Tesch
Lesley Hunt, Helen Gourlay
Sue Barker, Jill Schwikert
Patricia Coleman, Nellemieke Brouwer
Julie Heldman, Wendy Turnbull
Kerry Reid, Dianne Fromholtz
Ann Kiyomura Hayashi, Mandy Morgan
Jackie Fayter, Gail Williams
Judy Tegart, Jenny Dimond
Karen Krantzcke, Pam Teeguarden
Janet Young, Mimi Wikstedt
Peggy Michel, Jan Lehane
Evonne Goolagong, Miki Yokobori
Chris Evert, Janet Fallis
Janet Newberry, Kazuko Sawamatsu
Lesley Hunt, Sue Barker
Julie Heldman, Patricia Coleman
Kerry Reid, Ann Kiyomura Hayashi
Judy Tegart, Jackie Fayter
Karen Krantzcke, Janet Young
Evonne Goolagong, Peggy Michel
Chris Evert, Janet Newberry
Julie Heldman, Lesley Hunt
Kerry Reid, Judy Tegart
Evonne Goolagong, Karen Krantzcke
Chris Evert, Julie Heldman
Evonne Goolagong, Kerry Reid
Evonne Goolagong, Chris Evert
Virginia Wade, Monique Van Haver
Nathalie Fuchs, Sally Greer
Raquel Giscafre, Evelyne Terras
Glynis Coles, Lany Kaligis
Mima Jausovec, Kazuko Sawamatsu
Katja Ebbinghaus, Nancy Ornstein
Lita Liem, Janet Haas
Heide Orth, Linky Boshoff
Olga Morozova, Renata Tomanova
Florence Guedy, Lindsey Beaven
Corinne Molesworth, Christine Gimmig
Judith Dibar, Monica Rho
Daryl Gralka, Antonella Rosa
Maria Teresa Nasuelli, Marijke Jansen
Jackie Fayter, Ching Ling Chang
Marie Pinterova, Nicole Bimes
Dianne Fromholtz, Odile De Roubin
Christina Sandberg, Lea Pericoli
Veronica Burton, Michele Gurdal
Martina Navratilova, Robin Tenney
Elvira Weisenberger, Lindsay Blachford
Mariana Simionescu, Chris Matison
Daniele Bouteleux, Kayoko Fukuoka
Helga Masthoff, Rosie Reyes
Patricia Reese, Mimi Wikstedt
Laurie Tenney, Ana Maria Arias
Miroslava Kozeluhova, Gail Sherriff
Julie Heldman, Alena Palmeova West
Maria Victoria Baldovinos Cibeira, Penny Moor
Wendy Gilchrist, Monique Salfati
Virginia Ruzici, Betsy Nagelsen
Chris Evert, Regina Marsikova
Nathalie Fuchs, Virginia Wade
Raquel Giscafre, Glynis Coles
Katja Ebbinghaus, Mima Jausovec
Lita Liem, Heide Orth
Olga Morozova, Florence Guedy
Judith Dibar, Corinne Molesworth
Maria Teresa Nasuelli, Daryl Gralka
Marie Pinterova, Jackie Fayter
Dianne Fromholtz, Christina Sandberg
Martina Navratilova, Veronica Burton
Elvira Weisenberger, Mariana Simionescu
Helga Masthoff, Daniele Bouteleux
Laurie Tenney, Patricia Reese
Julie Heldman, Miroslava Kozeluhova
Maria Victoria Baldovinos Cibeira, Wendy Gilchrist
Chris Evert, Virginia Ruzici
Raquel Giscafre, Nathalie Fuchs
Katja Ebbinghaus, Lita Liem
Olga Morozova, Judith Dibar
Marie Pinterova, Maria Teresa Nasuelli
Martina Navratilova, Dianne Fromholtz
Helga Masthoff, Elvira Weisenberger
Julie Heldman, Laurie Tenney
Chris Evert, Maria Victoria Baldovinos Cibeira
Raquel Giscafre, Katja Ebbinghaus
Olga Morozova, Marie Pinterova
Helga Masthoff, Martina Navratilova
Chris Evert, Julie Heldman
Olga Morozova, Raquel Giscafre
Chris Evert, Helga Masthoff
Chris Evert, Olga Morozova
Rosie Casals, Penny Moor
Pam Teeguarden, Helena Anliot
Sue Mappin, Christina Sandberg
Mima Jausovec, Martina Navratilova
Michele Gurdal, Vlasta Kodesova
Linky Boshoff, Sue Barker
Helen Gourlay, Peggy Michel
Renata Tomanova, Lindsay Blachford
Virginia Wade, Veronica Burton
Julie Anthony, Odile De Roubin
Betsy Nagelsen, Laurie Tenney
Gail Sherriff, Beatriz Araujo
Ann Kiyomura Hayashi, Jackie Fayter
Marina Kroschina, Dianne Fromholtz
Patti Hogan, Wendy Overton
Brigette Cuypers, Clare Colman
Greer Stevens, Sandy Stap
Mimi Wikstedt, Elly Appel
Tory Ann Fretz, Judith Dibar
Wendy Turnbull, Barbara Downs
Julie Heldman, Lisa Fleming
Kazuko Sawamatsu, Patricia Bostrom
Robin Tenney, Corinne Molesworth
Kerry Reid, Betty Stove
Kristien Shaw, Linda Mottram
Sharon Walsh Pete, Jeanne Evert
Fiorella Bonicelli, Marie Pinterova
Kate Latham, Sally Greer
Paulina Peisachov, Carrie Meyer
Kerry Harris, Lindsey Beaven
Ilana Kloss, Lany Kaligis
Evonne Goolagong, Marijke Jansen
Billie Jean King, Kathy May
Francoise Durr, Mariana Simionescu
Christine Truman, Virginia Ruzici
Lesley Charles, Elvira Weisenberger
Olga Morozova, Shirley Bloomer
Wendy Gilchrist, Ingrid Bentzer
Winnie Shaw, Nerida Gregory
Karen Krantzcke, Laura Rossouw
Rosie Casals, Pam Teeguarden
