Sue Mappin, Chris Cerato
Cynthia Doerner, Deborah Fiuza
Wendy Turnbull, Lesley Turner
Pam Whytcross, Glynis Coles
Nerida Gregory, Dianne Evers
Monique Van Haver, Vivicca Andersson
Peggy Michel, Gwen Stirton
Chris Matison, Ai Iida
Helena Anliot, Jenny Walker
Natasha Chmyreva, Belinda Thompson
Laura Dupont, Kerry Harris
Sally Greer, Kaye Hallam
Chris Oneil, Lois Raymond
Linda Mottram, Julie Staines
Kiyoko Nomura, Sally Irvine
Lesley Charles, Maureen Mccalman
Michele Gurdal, Cheree Walker
Mona Guerrant, Carol Draper
Jan Wilton, Kerry Neill
Vicki Lancaster Kerr, Kym Ruddell
Sue Barker, Gail Williams
Merrilyn Robinson, Kerry Ballard
Cecilia Martinez, Julie Hanrahan
Frederique Thibault, Jenny Dimond
Margaret Court, Sue Mappin
Wendy Turnbull, Cynthia Doerner
Nerida Gregory, Pam Whytcross
Martina Navratilova, Monique Van Haver
Peggy Michel, Helen Gourlay
Chris Matison, Helena Anliot
Natasha Chmyreva, Laura Dupont
Sally Greer, Kerry Reid
Evonne Goolagong, Chris Oneil
Linda Mottram, Kiyoko Nomura
Lesley Charles, Michele Gurdal
Kazuko Sawamatsu, Mona Guerrant
Dianne Fromholtz, Jan Wilton
Sue Barker, Vicki Lancaster Kerr
Cecilia Martinez, Merrilyn Robinson
Olga Morozova, Frederique Thibault
Margaret Court, Wendy Turnbull
Martina Navratilova, Nerida Gregory
Chris Matison, Peggy Michel
Natasha Chmyreva, Sally Greer
Evonne Goolagong, Linda Mottram
Kazuko Sawamatsu, Lesley Charles
Sue Barker, Dianne Fromholtz
Olga Morozova, Cecilia Martinez
Martina Navratilova, Margaret Court
Natasha Chmyreva, Chris Matison
Evonne Goolagong, Kazuko Sawamatsu
Sue Barker, Olga Morozova
Martina Navratilova, Natasha Chmyreva
Evonne Goolagong, Sue Barker
Evonne Goolagong, Martina Navratilova
Martina Navratilova, Beatriz Araujo
Nathalie Fuchs, Marijke Jansen
Lita Liem, Michele Gurdal
Pam Teeguarden, Glynis Coles
Helga Masthoff, Sharon Walsh Pete
Dianne Fromholtz, Lany Kaligis
Rosie Reyes, Lea Pericoli
Donna Ganz, Mariana Simionescu
Odile De Roubin, Julie Heldman
Michelle Rodriguez, Sue Mappin
Betsy Nagelsen, Linda Thomas
Eva Szabo, Antonella Rosa
Janet Newberry, Brigitte Simon Glinel
Margareta Strandberg, Ana Maria Arias
Elly Appel, Paulina Peisachov
Julie Anthony, Ingrid Bentzer
Marina Kroschina, Jeanne Evert
Laurie Fleming, Christina Sandberg
Florence Guedy, Beatrix Klein
Raquel Giscafre, Maria Victoria Baldovinos Cibeira
Sue Barker, Katja Ebbinghaus
Linky Boshoff, Elvira Weisenberger
Virginia Ruzici, Maria Teresa Nasuelli
Olga Morozova, Robin Tenney
Wendy Gilchrist, Miroslava Kozeluhova
Kazuko Sawamatsu, Nicole Bimes
Fiorella Bonicelli, Florenta Mihai
Gail Sherriff, Lesley Charles
Marie Pinterova, Helena Anliot
Renata Tomanova, Iris Riedel Kuhn
Mima Jausovec, Daniela Marzano
Chris Evert, Carmen Perea Alcala
Martina Navratilova, Nathalie Fuchs
Pam Teeguarden, Lita Liem
Dianne Fromholtz, Helga Masthoff
Donna Ganz, Rosie Reyes
Odile De Roubin, Michelle Rodriguez
Eva Szabo, Betsy Nagelsen
Janet Newberry, Margareta Strandberg
Elly Appel, Julie Anthony
Marina Kroschina, Laurie Fleming
Raquel Giscafre, Florence Guedy
Sue Barker, Linky Boshoff
Olga Morozova, Virginia Ruzici
Kazuko Sawamatsu, Wendy Gilchrist
Fiorella Bonicelli, Gail Sherriff
Renata Tomanova, Marie Pinterova
Chris Evert, Mima Jausovec
Martina Navratilova, Pam Teeguarden
Donna Ganz, Dianne Fromholtz
Eva Szabo, Odile De Roubin
Janet Newberry, Elly Appel
Raquel Giscafre, Marina Kroschina
Olga Morozova, Sue Barker
Kazuko Sawamatsu, Fiorella Bonicelli
Chris Evert, Renata Tomanova
Martina Navratilova, Donna Ganz
Janet Newberry, Eva Szabo
Olga Morozova, Raquel Giscafre
Chris Evert, Kazuko Sawamatsu
Martina Navratilova, Janet Newberry
Chris Evert, Olga Morozova
Chris Evert, Martina Navratilova
Chris Evert, Chris Oneil
Kazuko Sawamatsu, Laurie Tenney
Judy Tegart, Annette Coe
Linda Mottram, Roberta Stark
Kerry Reid, Elena Granaturovna
Betty Stove, Helena Anliot
Winnie Shaw, Lindsay Blachford
Peggy Michel, Janet Young
Billie Jean King, Elizabeth Vlotman
Julie Anthony, Margareta Strandberg
Michele Gurdal, Naoko Sato
