Rafeket Binyamini, Marlene Chumbez
Orly Bialistozky, Magdalena Wiese
Kathy Horvath, Sandra Cecchini
Raffaella Reggi Concato, Zina Garrison
Sandra Cecchini, Judith Wiesner
Raffaella Reggi Concato, Petra Huber
Sabrina Goles, Rafeket Binyamini
Mima Jausovec, Orly Bialistozky
Marianne Groat, Paulina Sepulveda
Helene Pelletier, Carolina Espinoza
Silvana Campos, Karin Moos
Patricia Medrado, Simone Schilder
Helena Sukova, Claudia Borgiani
Hana Mandlikova, Stefania Sernaglia
Carina Karlsson, Claudia Monteiro
Catarina Lindqvist Ryan, Patricia Medrado
Helena Sukova, Sabrina Goles
Hana Mandlikova, Mima Jausovec
Anne Minter, Kathleen Schuurmans
Liz Smylie, Nicole Mabille
Eun Sook Han, Sally Anne Mcdonald
Helen Park, Angela Longo
Claudia Hernandez Salas, Marlene Chumbez
Heliane Steden, Magdalena Wiese
Paulina Sepulveda, Rina Caniza
Carolina Espinoza, Dyan Castillejo
Paulina Sepulveda, Therese Arildsen
Tine Scheuer Larsen, Carolina Espinoza
Amanda Brown, Karen Dewis
Helene Pelletier, Anne Hobbs
Sandra Cecchini, Marianne Groat
Raffaella Reggi Concato, Jill Hetherington
Nicole Mabille, Liliana Fernandez
Elsa Rodriguez, Ann Gabriel
Claudia Hernandez Salas, Akiko Kijimuta
Etsuko Inoue, Heliane Steden
Akiko Kijimuta, Rina Caniza
Etsuko Inoue, Dyan Castillejo
Sabrina Goles, Min Kyung Seol
Mima Jausovec, Helen Park
Jeong Soon Lee, Andrea Ritecz
Andrea Temesvari, Helen Park
Silvana Campos, Amanda Brown
Jo Durie, Patricia Medrado
Anne Minter, Helena Sukova
Hana Mandlikova, Liz Smylie
Lilian Drescher, Andrea Ritecz
Andrea Temesvari, Christiane Jolissaint
Helena Sukova, Olga Tsarbopoulou
Hana Mandlikova, Angelika Kanellopoulou
Gabriela Sabatini, Li Lan Duan
Emilse Raponi Longo, Ni Zhong
Anne Minter, Emilse Raponi Longo
Liz Smylie, Ivanna Madruga
Gabriela Sabatini, Claudia Borgiani
Emilse Raponi Longo, Stefania Sernaglia
Sri Utaminingsih, Sally Anne Mcdonald
Suzanna Anggarkusuma, Angela Longo
Judith Wiesner, Ana Almansa
Petra Huber, Betona Pellon Fernandez
Karin Moos, Sri Utaminingsih
Simone Schilder, Suzanna Anggarkusuma
Anne Minter, Kathy Horvath
Kathy Jordan, Wendy Turnbull
Amanda Brown, Eva Rozsavolgyi
Andrea Ritecz, Anne Hobbs
Katerina Maleeva, Anne Hobbs
Manuela Maleeva Fragniere, Jo Durie
Karin Moos, Marie Christine Calleja
Catherine Tanvier, Simone Schilder
Helena Sukova, Marie Christine Calleja
Hana Mandlikova, Catherine Tanvier
Petra Keppeler, Carina Karlsson
Catarina Lindqvist Ryan, Sylvia Hanika
Sabrina Goles, Katerina Maleeva
Manuela Maleeva Fragniere, Mima Jausovec
Marie Christine Calleja, Therese Arildsen
Catherine Tanvier, Tine Scheuer Larsen
Olga Tsarbopoulou, Emiko Okagawa
Angelika Kanellopoulou, Etsuko Inoue
Katerina Maleeva, Svetlana Cherneva
Manuela Maleeva Fragniere, Natasha Reva
Kathy Horvath, Lilian Drescher
