Jo Griffiths, Tanja Cerne
Karmen Skulj, Lesley OHalloran
Sabine Appelmans, Olga Tsarbopoulou
Ann Devries, Angelika Kanellopoulou
Sabine Appelmans, Il Soon Kim
Ann Devries, Mal Sim Park
Sylvia Hanika, Xochitl Escobedo
Claudia Kohde Kilsch, Claudia Hernandez Salas
Manon Bollegraf, Patricia Medrado
Brenda Schultz Mccarthy, Neige Dias
Larisa Savchenko, Tanja Cerne
Natalia Zvereva, Karmen Skulj
Larisa Savchenko, Conchita Martinez
Arantxa Sanchez Vicario, Natalia Zvereva
Radomira Zrubakova, Larisa Savchenko
Helena Sukova, Natalia Zvereva
Anne Aallonen, Petra Schmitt
Petra Thoren, Reeka Szikszay
Conchita Martinez, Manon Bollegraf
Arantxa Sanchez Vicario, Brenda Schultz Mccarthy
Lori Mcneil, Sandrine Jaquet
Barbara Potter, Eva Krapl
Sylvia Hanika, Nicole Bradtke
Claudia Kohde Kilsch, Anne Minter
Conchita Martinez, Waya Walalangi
Arantxa Sanchez Vicario, Yayuk Basuki
Sylvia Hanika, Karine Quentrec
Claudia Kohde Kilsch, Catherine Tanvier
Radomira Zrubakova, Julie Richardson
Helena Sukova, Belinda Cordwell
Su Lin Lai, Yu Yu Zhu
Shi Ting Wang, Min Tang
Sabine Appelmans, Clare Wood
Sara Gomer, Ann Devries
Julie Richardson, Yu Yu Zhu
Belinda Cordwell, Min Tang
Yael Segal, Magdalena Feistel
Ilana Berger, Ewa Zerdecka
Helen Asciak, Li Hua Yang
Min Tang, Carol Cassar Torreggiani
Xochitl Escobedo, Su Lin Lai
Shi Ting Wang, Claudia Hernandez Salas
Patricia Medrado, Yael Segal
Neige Dias, Ilana Berger
Su Lin Lai, Ginette Huberty
Karin Kschwendt, Shi Ting Wang
Heidi Sprung, Larisa Savchenko
Natalia Zvereva, Judith Wiesner
Radomira Zrubakova, Jill Hetherington
Helena Sukova, Helen Kelesi
Jill Hetherington, Maria Strandlund Tomsvik
Helen Kelesi, Catarina Lindqvist Ryan
Jeong Myung Lee, Ginette Huberty
Karin Kschwendt, Il Soon Kim
Mercedes Paz, Karin Ptaszek
Tine Scheuer Larsen, Bettina Fulco
Dyan Castillejo, Jo Griffiths
Siobhan Nicholson, Sarah Rafael
Il Soon Kim, Jo Griffiths
Mal Sim Park, Siobhan Nicholson
Radomira Zrubakova, Karin Ptaszek
Helena Sukova, Tine Scheuer Larsen
Sabine Appelmans, Petra Schwarz
Judith Wiesner, Ann Devries
Nicole Bradtke, Laura Lapi
Anne Minter, Laura Garrone
Nicole Bradtke, Yael Segal
Anne Minter, Ilana Berger
Karin Ptaszek, Ginette Huberty
Tine Scheuer Larsen, Karin Kschwendt
Mercedes Paz, Olga Tsarbopoulou
Bettina Fulco, Angelika Kanellopoulou
Radomira Zrubakova, Patricia Medrado
Helena Sukova, Neige Dias
Larisa Savchenko, Sylvia Hanika
Claudia Kohde Kilsch, Natalia Zvereva
Maria Strandlund Tomsvik, Galia Angelova
Catarina Lindqvist Ryan, Elena Pampoulova
Maria Strandlund Tomsvik, Patty Fendick
Catarina Lindqvist Ryan, Lori Mcneil
Galia Angelova, Dyan Castillejo
Elena Pampoulova, Sarah Rafael
Manon Bollegraf, Galia Angelova
Brenda Schultz Mccarthy, Elena Pampoulova
Clare Wood, Su Lin Lai
Sara Gomer, Shi Ting Wang
Galia Angelova, Alexia Gera
Elena Pampoulova, Carol Cassar Torreggiani
Emanuela Zardo, Clare Wood
Sara Gomer, Eva Krapl
Clare Wood, Manon Bollegraf
Brenda Schultz Mccarthy, Sara Gomer
Clare Wood, Waya Walalangi
Yayuk Basuki, Sara Gomer
Karine Quentrec, Akiko Kijimuta
Catherine Tanvier, Etsuko Inoue
Patricia Medrado, Virag Csurgo
Neige Dias, Reeka Szikszay
Jill Hetherington, Il Soon Kim
Helen Kelesi, Mal Sim Park
Naoko Sawamatsu, Jeong Myung Lee
Mal Sim Park, Etsuko Inoue
Jill Hetherington, Anne Aallonen
Helen Kelesi, Petra Thoren
Laura Lapi, Magdalena Feistel
Katarzyna Nowak, Laura Garrone
Manon Bollegraf, Tanja Cerne
Brenda Schultz Mccarthy, Karmen Skulj
Leila Meskhi, Regina Rajchrtova
Catherine Suire, Yayuk Basuki
Sara Gomer, Belinda Cordwell
Il Soon Kim, Etsuko Inoue
Jill Hetherington, Ilana Berger
Gisele Miro, Helen Kelesi
Jana Novotna, Isabelle Demongeot
Barbara Paulus, Bettina Fulco
Anne Minter, Xochitl Escobedo
Wendy Turnbull, Clare Wood
Tine Scheuer Larsen, Ouarda Bouchabou
Sabrina Goles, Arantxa Sanchez Vicario
Mercedes Paz, Olga Tsarbopoulou
Catarina Lindqvist Ryan, Kumiko Okamoto
Nathalie Tauziat, Carling Bassett Seguso
