Nana Smith, Cecilia Dahlman
Akiko Kijimuta, Catarina Lindqvist Ryan
Judith Wiesner, Claudia Hernandez Salas
Xochitl Escobedo, Barbara Paulus
Larisa Savchenko, Rene Simpson
Helen Kelesi, Leila Meskhi
Nanne Dahlman, Cecilia Dahlman
Anne Aallonen, Maria Strandlund Tomsvik
Laura Garrone, Aranzazu Gallardo
Laura Golarsa, Xochitl Escobedo
Hagit Ohayon, Nadin Ercegovic
Sabrina Goles, Ilana Berger
Claudine Toleafoa, Sandra Cecchini
Belinda Cordwell, Raffaella Reggi Concato
Nanne Dahlman, Alexia Gera
Petra Thoren, Carol Cassar Torreggiani
Sook Ja Im, Hagit Ohayon
Il Soon Kim, Ilana Berger
Hagit Ohayon, Camille Walter
Ilana Berger, Joni Van Ryck De Groot
Nadin Ercegovic, Camille Walter
Sabrina Goles, Joni Van Ryck De Groot
Anne Aallonen, Orawan Thampensri
Petra Thoren, Tossaporn Summa
Luciana Tella, Magdalena Feistel
Gisele Miro, Katarzyna Nowak
Carol Cassar Torreggiani, Orawan Thampensri
Tossaporn Summa, Katherine Camilleri
Celine Cohen, Caroline Van Renterghem
Eva Krapl, Sabine Appelmans
Liz Smylie, Claudine Toleafoa
Anne Minter, Belinda Cordwell
Conchita Martinez, Isabelle Demongeot
Arantxa Sanchez Vicario, Nathalie Tauziat
Nicole Jagerman, Nadin Ercegovic
Brenda Schultz Mccarthy, Sabrina Goles
Jana Novotna, Caroline Van Renterghem
Helena Sukova, Sabine Appelmans
Min Tang, Marie Christine Goy
Karin Kschwendt, Li Ling Chen
Min Tang, Marie Christine Goy
Karin Kschwendt, Li Ling Chen
Katerina Maleeva, Sook Ja Im
Manuela Maleeva Fragniere, Il Soon Kim
Alexia Gera, Kerry Ann Lim
Carol Cassar Torreggiani, Shu Shin Kam
Chris Evert, Judith Wiesner
Martina Navratilova, Barbara Paulus
Marie Christine Goy, Su Lin Lai
Karin Kschwendt, Shi Ting Wang
Sook Ja Im, Nadin Ercegovic
Sabrina Goles, Il Soon Kim
Claudia Hernandez Salas, Su Lin Lai
Xochitl Escobedo, Shi Ting Wang
Clare Wood, Suzanna Anggarkusuma
Jo Durie, Yayuk Basuki
Suzanna Anggarkusuma, Luciana Tella
Yayuk Basuki, Gisele Miro
Katerina Maleeva, Patricia Tarabini
Manuela Maleeva Fragniere, Mercedes Paz
