Tina Pisnik, Lisa Raymond
Venus Williams, Katarina Srebotnik
Venus Williams, Tina Pisnik
Lisa Raymond, Katarina Srebotnik
Barbara Schett, Janette Husarova
Barbara Schwartz, Ludmila Cervanova
Barbara Schett, Martina Sucha
Janette Husarova, Sybille Bammer
Anastasia Myskina, Samantha Stosur
Svetlana Kuznetsova, Alicia Molik
Alicia Molik, Anastasia Myskina
Vera Zvonareva, Samantha Stosur
Gisela Dulko, Ai Sugiyama
Paola Suarez, Akiko Morigami
Paola Suarez, Ai Sugiyama
Akiko Morigami, Gisela Dulko
Francesca Schiavone, Barbora Strycova
Silvia Farina Elia, Klara Koukalova
Barbora Strycova, Maria Elena Camerin
Francesca Schiavone, Klara Koukalova
Nathalie Dechy, Anna Lena Groenefeld
Amelie Mauresmo, Barbara Rittner
Amelie Mauresmo, Anna Lena Groenefeld
Emilie Loit, Julia Schruff
Patty Schnyder, Marta Marrero
Conchita Martinez, Emmanuelle Gagliardi
Conchita Martinez, Patty Schnyder
Myriam Casanova, Marta Marrero
Kim Clijsters, Jelena Kostanic Tosic
Karolina Sprem, Kirsten Flipkens
Kim Clijsters, Karolina Sprem
Els Callens, Jelena Kostanic Tosic
Chanda Rubin, Barbara Schwartz
Barbara Schett, Lisa Raymond
Barbara Schett, Chanda Rubin
Barbara Schwartz, Lisa Raymond
Gisela Dulko, Svetlana Kuznetsova
Anastasia Myskina, Natalia Gussoni
Anastasia Myskina, Gisela Dulko
Vera Zvonareva, Mariana Diaz Oliva
Amelie Mauresmo, Silvia Farina Elia
Mary Pierce, Francesca Schiavone
Amelie Mauresmo, Francesca Schiavone
Silvia Farina Elia, Emilie Loit
Kirsten Flipkens, Anabel Medina Garrigues
Els Callens, Virginia Ruano Pascual
Anabel Medina Garrigues, Els Callens
Maria Sanchez Lorenzo, Kirsten Flipkens
Svetlana Kuznetsova, Yvonne Meusburger
Anastasia Myskina, Patricia Wartusch
Anastasia Myskina, Yvonne Meusburger
Svetlana Kuznetsova, Daniela Kix
Tatiana Golovin, Anabel Medina Garrigues
Nathalie Dechy, Maria Sanchez Lorenzo
Nathalie Dechy, Anabel Medina Garrigues
Tatiana Golovin, Marta Marrero
Nathalie Dechy, Svetlana Kuznetsova
Anastasia Myskina, Tatiana Golovin
Anastasia Myskina, Nathalie Dechy
Tatiana Golovin, Svetlana Kuznetsova
Jelena Jankovic, Hanna Nooni
Jelena Dokic, Sofia Arvidsson
Jelena Jankovic, Edita Liachoviciute
Jelena Dokic, Lina Stanciute
Hanna Nooni, Edita Liachoviciute
Sofia Arvidsson, Lina Stanciute
Tzipi Obziler, Anouska Van Exel
Anna Smashnova, Elise Tamaela
Tzipi Obziler, Chanelle Scheepers
Anna Smashnova, Nicole Rencken
Elena Tatarkova, Shahar Peer
Yuliya Beygelzimer, Tzipi Obziler
Michaella Krajicek, Chanelle Scheepers
Elise Tamaela, Natalie Grandin
Elena Tatarkova, Michaella Krajicek
Yuliya Beygelzimer, Elise Tamaela
Elena Tatarkova, Nicole Rencken
Natalie Grandin, Yuliya Beygelzimer
Tatsiana Uvarova, Kyra Nagy
Anastasia Yakimova, Melinda Czink
Kyra Nagy, Mette Iversen
Melinda Czink, Karina Ildor Jacobsgaard
Tatsiana Uvarova, Maria Rasmussen
Tatiana Poutchek, Karina Ildor Jacobsgaard
Maret Ani, Tsvetana Pironkova
Sesil Karatantcheva, Kaia Kanepi
Karolina Kosinska, Margit Ruutel
Maret Ani, Joanna Sakowicz Kostecka
Margit Ruutel, Anna Gerasimou
Maret Ani, Asimina Kaplani
Tsvetana Pironkova, Karolina Kosinska
Sesil Karatantcheva, Klaudia Jans Ignacik
Tsvetana Pironkova, Asimina Kaplani
Sesil Karatantcheva, Eleni Daniilidou
Karolina Kosinska, Christina Zachariadou
Eleni Daniilidou, Joanna Sakowicz Kostecka
Marina Erakovic, Wei Juan Liu
Jie Hao, Shelley Stephens
Shu Jing Yang, Alyssa Ann Labay
Jie Hao, Czarina Mae Arevalo
Suchanun Viratprasert, Shu Jing Yang
Tamarine Tanasugarn, Wei Juan Liu
Shelley Stephens, Anna Patricia Santos
Eden Marama, Czarina Mae Arevalo
Suchanun Viratprasert, Marina Erakovic
Tamarine Tanasugarn, Eden Marama
Napaporn Tongsalee, Anna Patricia Santos
Tamarine Tanasugarn, Czarina Mae Arevalo
Ankita Bhambri, I Ting Wang
Sania Mirza, Chia Jung Chuang
Sandy Gumulya, I Hsuan Hwang
Wynne Prakusya, Chia Jung Chuang
Jin Hee Kim, I Hsuan Hwang
Mi Ra Jeon, I Ting Wang
Ivanna Israilova, I Hsuan Hwang
Chia Jung Chuang, Akgul Amanmuradova
Ankita Bhambri, Sandy Gumulya
Wynne Prakusya, Sania Mirza
Ankita Bhambri, Kyung Mi Chang
Mi Ra Jeon, Sania Mirza
Ivanna Israilova, Ankita Bhambri
Sania Mirza, Akgul Amanmuradova
Jin Hee Kim, Sandy Gumulya
Wynne Prakusya, Mi Ra Jeon
Ivanna Israilova, Sandy Gumulya
Wynne Prakusya, Akgul Amanmuradova
Jin Hee Kim, Vlada Ekshibarova
Ivanna Israilova, Mi Ra Jeon
Miriam Cruz, Andrea Giraldo
Liz Cruz, Karen Castiblanco
Marcela Arroyo Vergara, Andrea Giraldo
Daniela Munoz Gallegos, Karen Castiblanco
Andrea Giraldo, Maria Calbeto
Vilmarie Castellvi, Karen Castiblanco
Marcela Arroyo Vergara, Miriam Cruz
Daniela Munoz Gallegos, Liz Cruz
Miriam Cruz, Bianca Gorbea
Vilmarie Castellvi, Liz Cruz
Melissa Torres Sandoval, Bianca Gorbea
Daniela Munoz Gallegos, Vilmarie Castellvi
Aleksandra Wozniak, Carla Tiene
Marie Eve Pelletier, Maria Fernanda Alves
Larissa Carvalho, Valentina Castro
Maria Fernanda Alves, Andrea Koch Benvenuto
Carla Tiene, Yamile Fors Guerra
Maria Fernanda Alves, Yanet Nunez Mojarena
Carla Tiene, Maria Eugenia Roca Recarey
Maria Fernanda Alves, Ana Lucia Migliarini De Leon
Aleksandra Wozniak, Valentina Castro
Marie Eve Pelletier, Andrea Koch Benvenuto
Aleksandra Wozniak, Yamile Fors Guerra
Marie Eve Pelletier, Yanet Nunez Mojarena
Aleksandra Wozniak, Camila Belassi
Marie Eve Pelletier, Ana Lucia Migliarini De Leon
Yamile Fors Guerra, Valentina Castro
Andrea Koch Benvenuto, Yanet Nunez Mojarena
Valentina Castro, Maria Eugenia Roca Recarey
Ana Lucia Migliarini De Leon, Andrea Koch Benvenuto
Yamile Fors Guerra, Maria Eugenia Roca Recarey
Ana Lucia Migliarini De Leon, Yanet Nunez Mojarena
Pamela Duran Vinueza, Luisa Elfride Lopez
Estefania Balda Alvarez, Lucia Henkle Gomez
Megan Moulton Levy, Pamela Duran Vinueza
Estefania Balda Alvarez, Alanna Broderick
Sarah Tami Masi, Pamela Duran Vinueza
Larissa Schaerer, Estefania Balda Alvarez
Megan Moulton Levy, Luisa Elfride Lopez
Alanna Broderick, Lucia Henkle Gomez
Luisa Elfride Lopez, Maria Rossana Vega Saguier
Larissa Schaerer, Lucia Henkle Gomez
Sarah Tami Masi, Megan Moulton Levy
Larissa Schaerer, Alanna Broderick
Monica Hoz De Vila, Chandra Capozzi
Maria Fernanda Alvarez Teran, Natalia Baez
Paola Iovino, Monica Hoz De Vila
Maria Fernanda Alvarez Teran, Mariana Muci Torres
Paola Iovino, Natalia Baez
Mariana Muci Torres, Chandra Capozzi
Wei Ping Lee, Hazar Sidki
Rui Jing Wong, Lara Alsamman
Wei Ping Lee, Ummarahmat Hummetova
Rui Jing Wong, Jenneta Halliyeva
Wei Ping Lee, Irene George
Rui Jing Wong, Gurianna Korinihona
Yekaterina Morozova, Pei Ling Tong
Amina Rakhim, Yun Ling Ng
Hazar Sidki, Ummarahmat Hummetova
Lara Alsamman, Jenneta Halliyeva
Irene George, Hazar Sidki
Gurianna Korinihona, Lara Alsamman
Yekaterina Morozova, Nivin Kezbari
Madina Rakhim, Lara Alsamman
Irene George, Almira Hallyeva
Gurianna Korinihona, Jenneta Halliyeva
Yekaterina Morozova, Ummarahmat Hummetova
Amina Rakhim, Veronika Babayan
Amina Rakhim, Irene George
Madina Rakhim, Gurianna Korinihona
Shu Jing Yang, Vlada Ekshibarova
Ivanna Israilova, Jie Hao
I Hsuan Hwang, Anna Patricia Santos
Czarina Mae Arevalo, I Ting Wang
Suchanun Viratprasert, Sania Mirza
Tamarine Tanasugarn, Rushmi Chakravarthi
Marina Erakovic, Wynne Prakusya
Angelique Widjaja, Shelley Stephens
Carla Tiene, Marcela Arroyo Vergara
Maria Fernanda Alves, Daniela Munoz Gallegos
Aleksandra Wozniak, Miriam Cruz
Marie Eve Pelletier, Liz Cruz
Maria Eugenia Roca Recarey, Gabriela Mejia Tenorio
Ana Lucia Migliarini De Leon, Karen Castiblanco
Valentina Castro, Maria Calbeto
Vilmarie Castellvi, Andrea Koch Benvenuto
Christina Zachariadou, Edita Liachoviciute
Eleni Daniilidou, Lina Stanciute
Nicole Rencken, Maria Rasmussen
Natalie Grandin, Karina Ildor Jacobsgaard
Jelena Jankovic, Tsvetana Pironkova
Sesil Karatantcheva, Jelena Dokic
Elena Tatarkova, Kyra Nagy
Yuliya Beygelzimer, Melinda Czink
Tatsiana Uvarova, Hanna Nooni
Sofia Arvidsson, Anastasia Yakimova
Maret Ani, Tzipi Obziler
Anna Smashnova, Kaia Kanepi
Essi Laine, Cigdem Duru
Emma Laine, Pemra Ozgen
Sofia Melikishvili, Aliaa Fakhry
Salome Devidze, Yomna Farid
Elena Baltacha, Yvonne Doyle
Anne Keothavong, Kelly Liggan
Anne Kremer, Monica Niculescu
Claudine Schaul, Simona Iulia Matei
Paola Iovino, Sarah Tami Masi
Larissa Schaerer, Mariana Muci Torres
Megan Moulton Levy, Monica Hoz De Vila
Maria Fernanda Alvarez Teran, Alanna Broderick
Chandra Capozzi, Karen Saravia
Luisa Elfride Lopez, Natalia Baez
Suchanun Viratprasert, Nicole Pratt
Tamarine Tanasugarn, Samantha Stosur
Tamarine Tanasugarn, Nicole Pratt
Samantha Stosur, Napaporn Tongsalee
Maria Fernanda Alves, Ivana Abramovic
Jelena Kostanic Tosic, Bruna Colosio
Jelena Kostanic Tosic, Maria Fernanda Alves
Darija Jurak, Bruna Colosio
Margit Ruutel, Klara Koukalova
Barbora Strycova, Maret Ani
Klara Koukalova, Maret Ani
Barbora Strycova, Margit Ruutel
Barbara Rittner, Tatiana Perebiynis
Yuliana Fedak, Anna Lena Groenefeld
Tatiana Perebiynis, Anna Lena Groenefeld
Barbara Rittner, Yuliana Fedak
Shinobu Asagoe, Tsvetana Pironkova
Desislava Topalova, Saori Obata
Shinobu Asagoe, Desislava Topalova
Tsvetana Pironkova, Yuka Yoshida
Lubomira Kurhajcova, Tatsiana Uvarova
Martina Sucha, Anastasia Yakimova
Lubomira Kurhajcova, Tatiana Poutchek
Henrieta Nagyova, Darya Kustova
Angelique Widjaja, Katarina Srebotnik
Wynne Prakusya, Tina Pisnik
Angelique Widjaja, Tina Pisnik
Andreja Klepac, Liza Andriyani
Myriam Casanova, Stephanie Dubois
Timea Bacsinszky, Marie Eve Pelletier
Myriam Casanova, Marie Eve Pelletier
Aleksandra Wozniak, Timea Bacsinszky
Anne Kremer, Yvonne Doyle
Claudine Schaul, Kelly Liggan
Anne Kremer, Liga Dekmeijere
Claudine Schaul, Anzela Zguna
Anne Kremer, Tinatin Kavlashvili
Claudine Schaul, Salome Devidze
Anne Kremer, Essi Laine
Claudine Schaul, Carina Bjornstrom
Yvonne Doyle, Liga Dekmeijere
Kelly Liggan, Anzela Zguna
Yvonne Doyle, Sofia Melikishvili
Kelly Liggan, Salome Devidze
Yvonne Doyle, Essi Laine
Kelly Liggan, Carina Bjornstrom
Sofia Melikishvili, Liga Dekmeijere
Anzela Zguna, Salome Devidze
Liga Dekmeijere, Essi Laine
Emma Laine, Anzela Zguna
Sofia Melikishvili, Carina Bjornstrom
Emma Laine, Salome Devidze
Tapiwa Marobela, Ines Zouabi
Selima Sfar, Lesedi Ramocha
Ines Zouabi, Meera Kantaria
Selima Sfar, Wanjika Ngaruiya
Lisa Camenzuli, Ines Zouabi
Selima Sfar, Sarah Wetz
Tapiwa Marobela, Evelyn Otula
Wanjika Ngaruiya, Lesedi Ramocha
Lisa Camenzuli, Laone Botshoma
Rosanne Dimech, Tapiwa Marobela
Lisa Camenzuli, Meera Kantaria
Sarah Wetz, Wanjika Ngaruiya
Karoline Borgersen, Sana Ben Salah
Samia Medjahdi, Ina Sartz
Karoline Borgersen, Selma Babic
Ina Sartz, Sanja Racic
Karoline Borgersen, Elna De Villiers
Ina Sartz, Alet Boonzaaier
Sana Ben Salah, Selma Babic
Samia Medjahdi, Sanja Racic
Sana Ben Salah, Elna De Villiers
Samia Medjahdi, Alet Boonzaaier
Selma Babic, Elrien De Villiers
Alet Boonzaaier, Sanja Racic
Elena Baltacha, Monica Niculescu
Anne Keothavong, Simona Iulia Matei
Amanda Keen, Noha Mohsen
Anne Keothavong, Yomna Farid
Elena Baltacha, Cigdem Duru
Amanda Keen, Pemra Ozgen
Monica Niculescu, Aliaa Fakhry
Simona Iulia Matei, Yomna Farid
Gabriela Niculescu, Cigdem Duru
Simona Iulia Matei, Pemra Ozgen
Cigdem Duru, Noha Mohsen
Pemra Ozgen, Yomna Farid
Sana Ben Salah, Selima Frioui
Selima Sfar, Samia Medjahdi
Lisa Camenzuli, Karoline Borgersen
Ina Sartz, Rosanne Dimech
Elrien De Villiers, Laone Botshoma
Tapiwa Marobela, Elna De Villiers
Selma Babic, Evelyn Otula
Sanja Racic, Caroline Oduor
Justine Henin, Barbora Strycova
Maria Vento Kabchi, Anne Kremer
Nicole Pratt, Myriam Casanova
Tathiana Garbin, Anna Smashnova
Nadia Petrova, Martina Sucha
Mary Pierce, Anabel Medina Garrigues
Maja Matevzic, Saori Obata
Venus Williams, Melinda Czink
Anastasia Myskina, Magui Serna
Kristina Brandi, Jelena Kostanic Tosic
Eleni Daniilidou, Catalina Castano
Magdalena Maleeva, Klara Koukalova
Francesca Schiavone, Shinobu Asagoe
Yoon Jeong Cho, Kaia Kanepi
Fabiola Zuluaga, Jelena Jankovic
Paola Suarez, Nathalie Dechy
Ai Sugiyama, Jie Zheng
Tatiana Perebiynis, Dally Randriantefy
Angelique Widjaja, Tamarine Tanasugarn
Karolina Sprem, Gisela Dulko
Silvia Farina Elia, Sandrine Testud
Lisa Raymond, Lubomira Kurhajcova
Katarina Srebotnik, Maria Sanchez Lorenzo
Alicia Molik, Elena Dementieva
Svetlana Kuznetsova, Mariana Diaz Oliva
Akiko Morigami, Iveta Benesova
Daniela Hantuchova, Claudine Schaul
Patty Schnyder, Petra Mandula
Chanda Rubin, Samantha Stosur
Cara Black, Tina Pisnik
Maria Elena Camerin, Mervana Jugic Salkic
Amelie Mauresmo, Conchita Martinez
Justine Henin, Maria Vento Kabchi
Nicole Pratt, Tathiana Garbin
Mary Pierce, Nadia Petrova
Venus Williams, Maja Matevzic
Anastasia Myskina, Kristina Brandi
Eleni Daniilidou, Magdalena Maleeva
Francesca Schiavone, Yoon Jeong Cho
Fabiola Zuluaga, Paola Suarez
Ai Sugiyama, Tatiana Perebiynis
Karolina Sprem, Angelique Widjaja
Lisa Raymond, Silvia Farina Elia
Alicia Molik, Katarina Srebotnik
Svetlana Kuznetsova, Akiko Morigami
Patty Schnyder, Daniela Hantuchova
Chanda Rubin, Cara Black
Amelie Mauresmo, Maria Elena Camerin
Justine Henin, Nicole Pratt
Mary Pierce, Venus Williams
Anastasia Myskina, Eleni Daniilidou
Francesca Schiavone, Fabiola Zuluaga
Ai Sugiyama, Karolina Sprem
Alicia Molik, Lisa Raymond
Svetlana Kuznetsova, Patty Schnyder
Amelie Mauresmo, Chanda Rubin
Justine Henin, Mary Pierce
Anastasia Myskina, Francesca Schiavone
Alicia Molik, Ai Sugiyama
Amelie Mauresmo, Svetlana Kuznetsova
Justine Henin, Anastasia Myskina
Amelie Mauresmo, Alicia Molik
Justine Henin, Amelie Mauresmo
Justine Henin, Olivia Lukaszewicz
Camille Pin, Tathiana Garbin
Antonella Serra Zanetti, Flavia Pennetta
Svetlana Kuznetsova, Shenay Perry
Eleni Daniilidou, Jennifer Hopkins
Cara Black, Els Callens
Barbara Schett, Clarisa Fernandez
Mara Santangelo, Magui Serna
Vera Zvonareva, Zuzana Ondraskova
Melinda Czink, Maria Vento Kabchi
Akiko Morigami, Marie Eve Pelletier
Nicole Pratt, Meghann Shaughnessy
Laura Granville, Tamarine Tanasugarn
Evie Dominikovic, Trudi Musgrave
Emilie Loit, Marta Marrero
Lindsay Davenport, Ruxandra Dragomir Ilie
Amelie Mauresmo, Chia Jung Chuang
Ludmila Cervanova, Casey Dellacqua
Anabel Medina Garrigues, Ansley Cargill
Yuliana Fedak, Tina Pisnik
Elena Bovina, Sandra Kleinova
Claudine Schaul, Tatiana Perebiynis
Alicia Molik, Angelika Bachmann
Daniela Hantuchova, Adriana Serra Zanetti
Aniko Kapros, Nadia Petrova
Samantha Stosur, Silvija Talaja
Petra Mandula, Gala Leon Garcia
Magdalena Maleeva, Samantha Reeves
Fabiola Zuluaga, Shinobu Asagoe
Mariana Diaz Oliva, Alina Jidkova
Jill Craybas, Rita Grande
Jelena Jankovic, Elena Dementieva
Ai Sugiyama, Tatiana Panova
Saori Obata, Myriam Casanova
Tzipi Obziler, Martina Sucha
Nathalie Dechy, Jelena Kostanic Tosic
Patty Schnyder, Angelique Widjaja
Marion Bartoli, Alexandra Stevenson
Julia Vakulenko, Eva Birnerova
Paola Suarez, Gisela Dulko
Anna Smashnova, Klara Koukalova
Tatiana Golovin, Marie Gaiane Mikaelian
