Maria Sharapova, Silvia Soler Espinosa
Svetlana Kuznetsova, Carla Suarez Navarro
Carla Suarez Navarro, Nadia Petrova
Svetlana Kuznetsova, Silvia Soler Espinosa
Jelena Jankovic, Kirsten Flipkens
Yanina Wickmayer, Bojana Jovanovski
Yanina Wickmayer, Aleksandra Krunic
Bojana Jovanovski, Kirsten Flipkens
Sara Errani, Kateryna Bondarenko
Lesia Tsurenko, Francesca Schiavone
Francesca Schiavone, Kateryna Bondarenko
Lesia Tsurenko, Sara Errani
Iveta Benesova, Sabine Lisicki
Petra Kvitova, Julia Goerges
Petra Kvitova, Sabine Lisicki
Angelique Kerber, Lucie Hradecka
Jelena Jankovic, Anastasia Pavlyuchenkova
Svetlana Kuznetsova, Ana Ivanovic
Ana Ivanovic, Anastasia Pavlyuchenkova
Jelena Jankovic, Svetlana Kuznetsova
Lucie Safarova, Francesca Schiavone
Petra Kvitova, Sara Errani
Petra Kvitova, Francesca Schiavone
Sara Errani, Andrea Hlavackova
Lucie Safarova, Ana Ivanovic
Petra Kvitova, Jelena Jankovic
Ana Ivanovic, Petra Kvitova
Lucie Safarova, Jelena Jankovic
Christina Mchale, Lesia Tsurenko
Serena Williams, Elina Svitolina
Serena Williams, Lesia Tsurenko
Christina Mchale, Elina Svitolina
Ayumi Morita, Alison Van Uytvanck
Kimiko Date Krumm, Tamaryn Hendler
Ayumi Morita, Tamaryn Hendler
Alison Van Uytvanck, Kurumi Nara
Dominika Cibulkova, Lourdes Dominguez Lino
Silvia Soler Espinosa, Daniela Hantuchova
Dominika Cibulkova, Silvia Soler Espinosa
Daniela Hantuchova, Lourdes Dominguez Lino
Samantha Stosur, Angelique Kerber
Jarmila Gajdosova, Julia Goerges
Samantha Stosur, Andrea Petkovic
Angelique Kerber, Olivia Rogowska
Christina Mchale, Anastasia Yakimova
Serena Williams, Olga Govortsova
Serena Williams, Anastasia Yakimova
Christina Mchale, Darya Kustova
Kimiko Date Krumm, Polona Hercog
Ayumi Morita, Nastja Kolar
Ayumi Morita, Polona Hercog
Kurumi Nara, Petra Rampre
Daniela Hantuchova, Pauline Parmentier
Virginie Razzano, Dominika Cibulkova
Dominika Cibulkova, Pauline Parmentier
Daniela Hantuchova, Alize Cornet
Samantha Stosur, Timea Bacsinszky
Stefanie Voegele, Jarmila Gajdosova
Samantha Stosur, Stefanie Voegele
Jarmila Gajdosova, Amra Sadikovic
Virginie Razzano, Petra Rampre
Pauline Parmentier, Nastja Kolar
Pauline Parmentier, Petra Rampre
Stephanie Foretz Gacon, Nastja Kolar
Olga Govortsova, Timea Bacsinszky
Stefanie Voegele, Aliaksandra Sasnovich
Stefanie Voegele, Olga Govortsova
Timea Bacsinszky, Aliaksandra Sasnovich
Johanna Larsson, Elena Baltacha
Sofia Arvidsson, Anne Keothavong
Sofia Arvidsson, Laura Robson
Johanna Larsson, Anne Keothavong
Paula Ormaechea, Yi Miao Zhou
Florencia Molinero, Qiang Wang
Paula Ormaechea, Qiang Wang
Yi Miao Zhou, Florencia Molinero
Patricia Mayr Achleitner, Tatjana Vorobjova
Anett Kontaveit, Tamira Paszek
Elitsa Kostova, Margit Ruutel
Tsvetana Pironkova, Anett Kontaveit
Patricia Mayr Achleitner, Elitsa Kostova
Tsvetana Pironkova, Tamira Paszek
Sofia Arvidsson, Reka Luca Jani
Timea Babos, Johanna Larsson
Ellen Allgurin, Maria Sakkari
Despina Papamichail, Hilda Melander
Sofia Arvidsson, Jelena Stanivuk
Johanna Larsson, Anita Husaric
Reka Luca Jani, Maria Sakkari
Timea Babos, Despina Papamichail
Reka Luca Jani, Anita Husaric
Jasmina Tinjic, Timea Babos
Anita Husaric, Maria Sakkari
Jasmina Tinjic, Despina Papamichail
Bibiane Schoofs, Anne Keothavong
Elena Baltacha, Michaella Krajicek
Bibiane Schoofs, Julia Glushko
Shahar Peer, Michaella Krajicek
Maria Joao Koehler, Bibiane Schoofs
Michelle Larcher De Brito, Michaella Krajicek
Anne Keothavong, Julia Glushko
Elena Baltacha, Shahar Peer
Anne Keothavong, Maria Joao Koehler
Elena Baltacha, Michelle Larcher De Brito
Julia Glushko, Maria Joao Koehler
Michelle Larcher De Brito, Shahar Peer
Simona Halep, Urszula Radwanska
Agnieszka Radwanska, Irina Camelia Begu
Urszula Radwanska, Donna Vekic
Agnieszka Radwanska, Petra Martic
Urszula Radwanska, Claudine Schaul
Agnieszka Radwanska, Anne Kremer
Simona Halep, Ani Mijacika
Petra Martic, Irina Camelia Begu
Mihaela Buzarnescu, Tiffany Cornelius
